"OVRL_HEALTH" "SELFDESC_WEIGHT" "MIN_MOD_PA"
"1" "Excellent" "About the right weight" 8
"2" "Good" "Very underweight" 90
"3" "Good" "About the right weight" 400
"4" "Good" "Slightly overweight" 360
"5" "Good" "About the right weight" 20
"6" "Very Good" "About the right weight" 25
"7" "Very Good" "About the right weight" 90
"8" "Fair" "About the right weight" 180
"9" "Good" "Slightly overweight" 120
"10" "Good" "About the right weight" 120
"11" "Good" "Very overweight" 90
"12" "Good" "Slightly overweight" 240
"13" "Fair" "Very overweight" 90
"14" "Fair" "Slightly overweight" 15
"15" "Excellent" "About the right weight" 308
"16" "Fair" "Slightly overweight" 120
"17" "Fair" "Slightly overweight" 200
"18" "Very Good" "About the right weight" 270
"19" "Excellent" "About the right weight" 120
"20" "Poor" "Very overweight" 45
"21" "Good" "Slightly overweight" 60
"22" "Good" "About the right weight" 540
"23" "Good" "Very overweight" 25
"24" "Very Good" "Slightly overweight" 80
"25" "Excellent" "About the right weight" 200
"26" "Very Good" "Slightly overweight" 180
"27" "Very Good" "Slightly overweight" 1080
"28" "Good" "Slightly overweight" 60
"29" "Very Good" "About the right weight" 1680
"30" "Good" "Slightly overweight" 2000
"31" "Very Good" "Slightly overweight" 840
"32" "Good" "About the right weight" 420
"33" "Very Good" "About the right weight" 120
"34" "Very Good" "Slightly overweight" 120
"35" "Good" "About the right weight" 250
"36" "Poor" "Very overweight" 0
"37" "Very Good" "Very overweight" 240
"38" "Very Good" "About the right weight" 240
"39" "Very Good" "Slightly underweight" 90
"40" "Excellent" "Very underweight" 100
"41" "Very Good" "About the right weight" 600
"42" "Good" "Slightly overweight" 120
"43" "Very Good" "About the right weight" 480
"44" "Good" "Slightly overweight" 5000
"45" "Poor" "Very overweight" 420
"46" "Good" "About the right weight" 180
"47" "Fair" "Slightly underweight" 210
"48" "Excellent" "About the right weight" 50
"49" "Good" "About the right weight" 2820
"50" "Good" "Slightly overweight" 70
"51" "Very Good" "About the right weight" 300
"52" "Very Good" "Slightly overweight" 60
"53" "Good" "Slightly overweight" 30
"54" "Good" "About the right weight" 420
"55" "Fair" "Slightly overweight" 120
"56" "Good" "About the right weight" 480
"57" "Fair" "Very underweight" 210
"58" "Very Good" "Slightly overweight" 500
"59" "Good" "Very overweight" 30
"60" "Poor" "About the right weight" 0
"61" "Excellent" "Slightly overweight" 120
"62" "Good" "About the right weight" 900
"63" "Good" "Slightly overweight" 120
"64" "Very Good" "Slightly overweight" 180
"65" "Good" "About the right weight" 90
"66" "Good" "Slightly overweight" 60
"67" "Excellent" "Very overweight" 300
"68" "Good" "Slightly underweight" 180
"69" "Good" "About the right weight" 60
"70" "Very Good" "Slightly overweight" 240
"71" "Good" "Slightly overweight" 300
"72" "Very Good" "Slightly overweight" 120
"73" "Excellent" "About the right weight" 1680
"74" "Very Good" "About the right weight" 60
"75" "Excellent" "About the right weight" 30
"76" "Good" "About the right weight" 120
"77" "Good" "Very overweight" 10
"78" "Fair" "Slightly overweight" 30
"79" "Good" "Slightly overweight" 45
"80" "Good" "Slightly overweight" 240
"81" "Good" "About the right weight" 180
"82" "Good" "About the right weight" 160
"83" "Very Good" "About the right weight" 250
"84" "Very Good" "About the right weight" 30
"85" "Very Good" "Slightly overweight" 45
"86" "Very Good" "About the right weight" 120
"87" "Very Good" "About the right weight" 0
"88" "Good" "Very overweight" 0
"89" "Good" "Slightly overweight" 120
"90" "Good" "About the right weight" 70
"91" "Fair" "Slightly overweight" 240
"92" "Very Good" "About the right weight" 40
"93" "Good" "Slightly overweight" 60
"94" "Good" "Slightly underweight" 120
"95" "Very Good" "Slightly overweight" 200
"96" "Fair" "About the right weight" 120
"97" "Very Good" "Slightly overweight" 60
"98" "Good" "Slightly underweight" 90
"99" "Fair" "Slightly underweight" 1200
"100" "Good" "About the right weight" 800
"101" "Fair" "About the right weight" 300
"102" "Very Good" "Slightly overweight" 300
"103" "Good" "About the right weight" 350
"104" "Good" "Slightly overweight" 300
"105" "Very Good" "About the right weight" 270
"106" "Very Good" "About the right weight" 300
"107" "Fair" "Slightly overweight" 60
"108" "Excellent" "About the right weight" 300
"109" "Good" "About the right weight" 120
"110" "Good" "Slightly overweight" 420
"111" "Good" "Slightly overweight" 90
"112" "Fair" "Slightly overweight" 0
"113" "Very Good" "Slightly overweight" 160
"114" "Very Good" "Slightly overweight" 60
"115" "Good" "Slightly overweight" 720
"116" "Very Good" "Slightly overweight" 340
"117" "Very Good" "About the right weight" 400
"118" "Good" "Slightly underweight" 500
"119" "Very Good" "About the right weight" 60
"120" "Very Good" "Very underweight" 0
"121" "Very Good" "About the right weight" 30
"122" "Excellent" "About the right weight" 50
"123" "Fair" "About the right weight" 120
"124" "Fair" "Slightly overweight" 300
"125" "Fair" "Very overweight" 60
"126" "Excellent" "About the right weight" 360
"127" "Excellent" "About the right weight" 360
"128" "Very Good" "About the right weight" 120
"129" "Very Good" "About the right weight" 45
"130" "Good" "Slightly overweight" 1000
"131" "Fair" "About the right weight" 420
"132" "Good" "About the right weight" 60
"133" "Good" "About the right weight" 120
"134" "Fair" "Slightly overweight" 120
"135" "Good" "Slightly overweight" 90
"136" "Poor" "About the right weight" 50
"137" "Fair" "Slightly overweight" 30
"138" "Very Good" "About the right weight" 90
"139" "Fair" NA 0
"140" "Good" "Slightly overweight" 60
"141" "Very Good" "Slightly overweight" 60
"142" "Good" "Slightly overweight" 300
"143" "Very Good" "Slightly overweight" 360
"144" "Fair" "Slightly overweight" 300
"145" "Excellent" "Slightly underweight" 160
"146" "Very Good" "Slightly overweight" 600
"147" "Good" "About the right weight" 630
"148" "Very Good" "Slightly overweight" 180
"149" "Very Good" "Slightly overweight" 450
"150" "Good" "Slightly overweight" 60
"151" "Good" "About the right weight" 30
"152" "Very Good" "About the right weight" 60
"153" "Good" "Slightly overweight" 420
"154" "Good" "Slightly overweight" 75
"155" "Good" "About the right weight" 350
"156" "Fair" "Slightly overweight" 120
"157" "Excellent" "About the right weight" 300
"158" "Good" "Slightly overweight" 480
"159" "Very Good" "Slightly overweight" 60
"160" "Good" "Slightly overweight" 100
"161" "Poor" "Slightly underweight" 120
"162" "Good" "Very overweight" 0
"163" "Good" "About the right weight" 190
"164" "Very Good" "About the right weight" 450
"165" "Fair" "About the right weight" 30
"166" "Good" "Slightly overweight" 300
"167" "Very Good" "About the right weight" 50
"168" "Good" "About the right weight" 330
"169" "Good" "Slightly overweight" 60
"170" "Very Good" "About the right weight" 120
"171" "Very Good" "About the right weight" 300
"172" "Excellent" "About the right weight" 480
"173" "Good" "Slightly overweight" 25
"174" "Good" "About the right weight" 260
"175" "Poor" "Slightly overweight" 180
"176" "Good" "Slightly overweight" 298
"177" "Good" "About the right weight" 660
"178" "Very Good" "About the right weight" 500
"179" "Fair" "Slightly overweight" 150
"180" "Good" "Slightly overweight" 130
"181" "Poor" "About the right weight" 140
"182" "Very Good" "About the right weight" 120
"183" "Very Good" "About the right weight" 100
"184" "Good" "About the right weight" 350
"185" "Very Good" "About the right weight" 120
"186" "Good" "Slightly overweight" 300
"187" "Good" "Slightly underweight" 60
"188" NA "Slightly overweight" 40
"189" "Fair" "Slightly underweight" 10
"190" "Very Good" "Slightly overweight" 45
"191" "Good" "About the right weight" 95
"192" "Very Good" "About the right weight" 60
"193" "Very Good" "About the right weight" 200
"194" "Very Good" "Slightly overweight" 180
"195" "Fair" "Very overweight" 15
"196" "Good" "About the right weight" 300
"197" "Very Good" "About the right weight" 600
"198" "Very Good" "Slightly overweight" 300
"199" "Very Good" "About the right weight" 60
"200" "Very Good" "About the right weight" 120
"201" "Good" "Slightly underweight" 120
"202" "Good" "Slightly overweight" 0
"203" "Good" "About the right weight" 100
"204" "Very Good" "About the right weight" 120
"205" "Excellent" "About the right weight" 150
"206" "Fair" "Slightly overweight" 30
"207" "Very Good" "About the right weight" 180
"208" "Fair" "Slightly overweight" 20
"209" "Fair" "Slightly overweight" 90
"210" "Very Good" "About the right weight" 300
"211" "Fair" "About the right weight" 90
"212" "Fair" "About the right weight" 140
"213" "Excellent" "Very underweight" 60
"214" "Very Good" "About the right weight" 240
"215" "Good" "About the right weight" 240
"216" "Very Good" "About the right weight" 300
"217" "Good" "Slightly overweight" 600
"218" "Good" "Slightly overweight" 360
"219" "Good" "Slightly overweight" 120
"220" "Very Good" "About the right weight" 400
"221" "Good" "Slightly overweight" 210
"222" "Very Good" "About the right weight" 150
"223" "Very Good" "Slightly underweight" 200
"224" "Good" "About the right weight" 240
"225" "Very Good" "Slightly overweight" 180
"226" "Very Good" "Slightly underweight" 45
"227" "Good" "Slightly overweight" 120
"228" "Good" "About the right weight" 45
"229" "Fair" "Very overweight" 360
"230" "Very Good" "Very overweight" 120
"231" "Good" "Slightly overweight" 120
"232" "Good" "Slightly overweight" 60
"233" "Very Good" "About the right weight" 120
"234" "Poor" "Slightly overweight" 0
"235" "Very Good" "About the right weight" 180
"236" "Good" "Slightly overweight" 0
"237" "Good" "About the right weight" 30
"238" "Very Good" "About the right weight" 180
"239" "Excellent" "Very overweight" 80
"240" "Good" NA 30
"241" "Fair" "Slightly overweight" 1
"242" "Very Good" "About the right weight" 60
"243" "Very Good" "About the right weight" 60
"244" "Good" "Slightly overweight" 130
"245" "Good" "Slightly underweight" 60
"246" "Fair" "Very underweight" 300
"247" "Very Good" "Slightly overweight" 10
"248" "Poor" "About the right weight" 30
"249" "Very Good" "About the right weight" 120
"250" "Very Good" "About the right weight" 150
"251" "Good" "Slightly overweight" 120
"252" "Good" "Slightly overweight" 120
"253" "Fair" "About the right weight" 150
"254" "Good" "About the right weight" 60
"255" "Good" "About the right weight" 900
"256" "Excellent" "About the right weight" 140
"257" "Good" "About the right weight" 60
"258" "Poor" "About the right weight" 0
"259" NA "Slightly overweight" 100
"260" "Good" "Very overweight" 5035
"261" "Good" "Slightly overweight" 60
"262" "Good" "Slightly overweight" 30
"263" "Fair" "Slightly overweight" 50
"264" "Very Good" "About the right weight" NA
"265" "Fair" "Slightly underweight" 60
"266" "Fair" "Slightly overweight" 240
"267" "Very Good" "About the right weight" 30
